wavenumber_cm-1,raw_avg,denoised,normalized,snv
1.960143920898437500e+03,2.113964956778067119e+02,2.120865180124970664e+02,1.285641417241410907e-02,-1.002247788994668765e-01
1.961621459960937500e+03,2.134062833432797959e+02,2.128958906106120992e+02,1.304904425508250122e-02,-9.218192343189032800e-02
1.963097045898437500e+03,2.159025132921007071e+02,2.137345215457768575e+02,1.324863780043514412e-02,-8.384832353256421733e-02
1.964573974609375000e+03,2.129754881682219434e+02,2.146013419645471174e+02,1.345494042213896645e-02,-7.523460055658262591e-02
1.966049072265625000e+03,2.146983139603226221e+02,2.154947412369093911e+02,1.366756879143615246e-02,-6.635675957310696593e-02
1.967525512695312500e+03,2.160283519603588047e+02,2.164119710620454384e+02,1.388586881475465870e-02,-5.724211085470390370e-02
1.969001831054687500e+03,2.152625545925564268e+02,2.173501346659776345e+02,1.410915106201978200e-02,-4.791944007373068193e-02
1.970476074218750000e+03,2.180966751663773096e+02,2.183060665097131618e+02,1.433666213728100949e-02,-3.842020366033514767e-02
1.971951782226562500e+03,2.190212278012876084e+02,2.192763736188610721e+02,1.456759451513045707e-02,-2.877811810392559566e-02
1.973425537109375000e+03,2.188508238615813184e+02,2.202582013614185712e+02,1.480126879525242058e-02,-1.902155030580912967e-02
1.974900756835937500e+03,2.184110378689236143e+02,2.212484234871828903e+02,1.503694093239949653e-02,-9.181566277604014809e-03
1.976374023437500000e+03,2.225472756844979756e+02,2.222434848329514807e+02,1.527376480034601559e-02,7.065057970223004389e-04
1.977846923828125000e+03,2.214042946144386690e+02,2.232399903940404329e+02,1.551093239047586503e-02,1.060892925333952776e-02
1.979321411132812500e+03,2.249410479510272012e+02,2.242343876911274094e+02,1.574759821532488793e-02,2.049040257779555924e-02
1.980793823242187500e+03,2.261644094961660869e+02,2.252232146765019252e+02,1.598293831008599022e-02,3.031652288916838328e-02
1.982267700195312500e+03,2.272758099591290488e+02,2.262034473979965128e+02,1.621623297636888214e-02,4.005724072657855517e-02
1.983739624023437500e+03,2.264493193449797559e+02,2.271712846711538987e+02,1.644657753507033915e-02,4.967478315668679562e-02
1.985213134765625000e+03,2.279549074526186416e+02,2.281215792646747218e+02,1.667274694892937822e-02,5.911800137918115511e-02
1.986684448242187500e+03,2.286444052237051494e+02,2.290486120203899816e+02,1.689338006251096466e-02,6.833006327167845395e-02
1.988157348632812500e+03,2.302169172498914804e+02,2.299456269921403759e+02,1.710686896560143638e-02,7.724383399587003707e-02
1.989628295898437500e+03,2.322590394196686816e+02,2.308055993202830791e+02,1.731154174677596719e-02,8.578950648030481130e-02
1.991098999023437500e+03,2.338384060329861143e+02,2.316223237825402350e+02,1.750592156769935001e-02,9.390541851150857600e-02
1.992571044921875000e+03,2.351409917760778399e+02,2.323887428971368081e+02,1.768832875290330536e-02,1.015214388470675466e-01
1.994041137695312500e+03,2.335780515317563584e+02,2.330968689405366945e+02,1.785686223006504800e-02,1.085581922943131133e-01
1.995511108398437500e+03,2.353556998923972685e+02,2.337400633225917090e+02,1.800994201961519242e-02,1.149497101990129971e-01
1.996982421875000000e+03,2.351010923032407334e+02,2.343134185812052124e+02,1.814640014918653815e-02,1.206472263829597574e-01
1.998451782226562500e+03,2.358023438630280566e+02,2.348135057183578169e+02,1.826542051977414483e-02,1.256166663846101095e-01
1.999920898437500000e+03,2.337349474871600137e+02,2.352396388491171990e+02,1.836683989126892264e-02,1.298512144637341548e-01
2.001391479492187500e+03,2.356511173954716298e+02,2.355915078043834114e+02,1.845058444365335615e-02,1.333477884240142075e-01
2.002859985351562500e+03,2.353009637903284101e+02,2.358673949943669470e+02,1.851624539182166601e-02,1.360893203211419600e-01
2.004328369140625000e+03,2.351683372214988310e+02,2.360677642269229182e+02,1.856393312170200385e-02,1.380804190825158650e-01
2.005798217773437500e+03,2.347096246790002851e+02,2.361951773709992892e+02,1.859425735621850900e-02,1.393465423795763880e-01
2.007265991210937500e+03,2.343652965404369297e+02,2.362519163795673194e+02,1.860776119849885668e-02,1.399103663172152068e-01
2.008733520507812500e+03,2.342574078595196738e+02,2.362407828953614342e+02,1.860511143745189125e-02,1.397997312345264642e-01
2.010202514648437500e+03,2.341963291874638173e+02,2.361643566994184198e+02,1.858692205906569556e-02,1.390402727980314945e-01
2.011669677734375000e+03,2.370757423683449190e+02,2.360234663133332731e+02,1.855339025087009847e-02,1.376402241496178791e-01
2.013136352539062500e+03,2.348103185583044024e+02,2.358213236123183094e+02,1.850528043680175691e-02,1.356315021693145217e-01
2.014602905273437500e+03,2.319622220639829209e+02,2.355655898804781714e+02,1.844441599683901284e-02,1.330902381727764316e-01
2.016070922851562500e+03,2.344215952555338447e+02,2.352644311926309797e+02,1.837274045077850332e-02,1.300975796557955200e-01
2.017536987304687500e+03,2.336884991681134238e+02,2.349274188002815720e+02,1.829253174943411622e-02,1.267486375631658169e-01
2.019002685546875000e+03,2.344928848831741846e+02,2.345625685407906644e+02,1.820569765619819980e-02,1.231230664587978085e-01
2.020468261718750000e+03,2.348010581687644560e+02,2.341714039183192142e+02,1.811260076393978596e-02,1.192360056293429033e-01
2.021933471679687500e+03,2.340936799225983691e+02,2.337540248146418662e+02,1.801326484444773501e-02,1.150884476147998187e-01
2.023400268554687500e+03,2.329136233859591982e+02,2.333085527237383303e+02,1.790724281467176091e-02,1.106617254224245422e-01
2.024864990234375000e+03,2.356939657705801494e+02,2.328302174897731902e+02,1.779339938103377886e-02,1.059084373066780521e-01
2.026329467773437500e+03,2.336076298466435048e+02,2.323151407811569129e+02,1.767081150346986110e-02,1.007900437117333764e-01
2.027793701171875000e+03,2.337399043330439952e+02,2.317549119122192565e+02,1.753747744498059327e-02,9.522296640750636809e-02
2.029257690429687500e+03,2.330775406448929346e+02,2.311345988387415957e+02,1.738984339003164445e-02,8.905882345746295170e-02
